Programme ID	Country	Organization	Programme name/acronym
FIN-SYKE	Finland	Finnish Environment Institute (SYKE)	National offshore seabird monitoring programme on wintering birds
FIN-MNH	Finland	Metsähallitus Nature and Heritage	Archipelago Bird Census Monitoring
EST-EMU	Estonia	Estonian University of Life Sciences (EMU)	Aerial survey of seabirds in Estonian waters
EST-EOS	Estonia	BirdLife Estonia (EOS)	
LVA-GOR	Latvia	Latvian Ornithological Society (LOB)	The Gulf of Riga as a Resource for Wind Energy (GORWIND)
LVA-LIFE05	Latvia	Latvian Ornithological Society (LOB)	LIFE project (LIFE05 NAT/LV/000100)
LVA-MAR	Latvia	Latvian Ornithological Society (LOB)	MARMONI
LVA-WWAS	Latvia	Latvian Ornithological Society (LOB)	Survey of wintering waterbirds at sea
LTU	Lithuania	Nature Research Centre (NRC)	LIFE Marine SPAs
RUS	Russian Federation	Scientific Research Center for Ecological Safety (SRCES RAS)	
POL-MZPM	Poland	Chief Inspector of Environmental Protection (GIOS)	Monitoring of Wintering Sea Birds (MZPM)
SWE	Sweden	Lund university	
DNK	Denmark	Aarhus University (AU)	
DEU-BSH	Germany	Federal Maritime and Hydrographic Agency (BSH)	
DEU-GMBM	Germany	Kiel University, Research and Technology Centre Westcoast (FTZ)	German Marine Biodiversity Monitoring
DEU-OSMS	Germany	Kiel University, Research and Technology Centre Westcoast (FTZ)	Offshore Seabird Monitoring in the Schleswig-Holstein coastal sea, North Sea
DEU-SAS	Germany	Kiel University, Research and Technology Centre Westcoast (FTZ)	German Seabirds at Sea programme (SAS)
NOR-NINA	Norway	Norwegian Institute for Nature Research (NINA)	Seabird populations (SEAPOP)
NLD-BuWa-AIR	Netherlands	Bureau Waardenburg (BuWa)	
NLD-BuWa-SHIP	Netherlands	Bureau Waardenburg (BuWa)	
NLD-MWTL	Netherlands	Bureau Waardenburg (BuWa)	Monitoring van de Waterstaatkundige Toestand des Lands (MWTL), zeevogels
NLD-NIOZ	Netherlands	Royal Netherlands Institute for Sea Research (NIOZ)	
NLD-WUR	Netherlands	Wageningen Marine Research (WUR)	
BEL-INBO	Belgium	Research Institute for Nature and Forest (INBO)	
BEL-RBINS	Belgium	Royal Belgian Institute for Natural Sciences (RBINS)	
GBR-HIDEF	United Kingdom	HiDef Aerial Surveying Limited (HiDef)	Multiple post-consent and Special Protection Area (SPA) monitoring projects
GBR-JNCC	United Kingdom	Joint Nature Conservation Committe (JNCC)	Brittish Seabirds at Sea programme (SAS)
GBR-OWF	United Kingdom	Ecological Consultancy (ECON)	Sheringham Shoal Offshore Wind Farm (OWF)
GBR-SFF	United Kingdom	Ecological Consultancy (ECON)	Seagreen Firth of Forth zone
IRL-MI	Ireland	Marine Institute	
IRL-NPWS	Ireland	National Parks and Wildlife Service (NPWS)	ObSERVE and others
FRA	France	La Rochelle University	MEGASCOPE
ESP-AV3	Spain	Instituto Español de Oceanografía (IEO)	IEO-AV3
ESP-BIO	Spain	AZTI Tecnalia (AZTI)	BIOMAN
ESP-JUV	Spain	AZTI Tecnalia (AZTI)	JUVENA
ESP-PEL	Spain	Instituto Español de Oceanografía (IEO)	PELACUS
ESP-UCA	Spain	University of Cadiz (UCA)	ECOCADIZ
PRT	Portugal	Society for the Study of Birds (SPEA)	European Seabirds at Sea (ESAS)
GRC-HSP	Greece	Hellenic Ornithological Society (HOS) / BirdLife Greece	Hellenic Seabird Project
GRC-LIFE03	Greece	Hellenic Ornithological Society (HOS) / BirdLife Greece	LIFE project (LIFE03 NAT/GR/000091)
GRC-LIFE07	Greece	Hellenic Ornithological Society (HOS) / BirdLife Greece	LIFE project (LIFE07 NAT/GR/000285)
GRC-LIFE96	Greece	Hellenic Ornithological Society (HOS)	LIFE project (LIFE96 NAT/GR/003221)
GRC-MSFD	Greece	Hellenic Ornithological Society (HOS) / BirdLife Greece	EU Marine Strategy Framework Directive for Greece
MLT	Malta	Hellenic Ornithological Society (HOS) / BirdLife Greece	LIFE project (LIFE19 NAT/MT/000982)
